"ResponseId","participant_code","item_name","response_first","response_second","response_both"
"R_09c5bxOROtuhLVv","117","abacus_3","把","个","把"
"R_09c5bxOROtuhLVv","117","axe_2","把","座","把"
"R_09c5bxOROtuhLVv","117","balance_2","把","台","把"
"R_09c5bxOROtuhLVv","117","belt_3","条","没有","条"
"R_09c5bxOROtuhLVv","117","bicycle_2","架","台","架"
"R_09c5bxOROtuhLVv","117","blackboard_2","块","台","块"
"R_09c5bxOROtuhLVv","117","bow_4","只","把","只"
"R_09c5bxOROtuhLVv","117","bracelet_3","把","只","把"
"R_09c5bxOROtuhLVv","117","broom_2","把","只","把"
"R_09c5bxOROtuhLVv","117","brush_3","把","只","把"
"R_09c5bxOROtuhLVv","117","cabbage_2","颗","个","颗"
"R_09c5bxOROtuhLVv","117","camera_3","台","座","台"
"R_09c5bxOROtuhLVv","117","coffeemachine_3","台","座","台"
"R_09c5bxOROtuhLVv","117","comb_4","把","只","把"
"R_09c5bxOROtuhLVv","117","desklamp_3","个","座","座"
"R_09c5bxOROtuhLVv","117","draftingcomp_4","只","个","只"
"R_09c5bxOROtuhLVv","117","egg_4","个","只","只"
"R_09c5bxOROtuhLVv","117","fan_3","座","把","座"
"R_09c5bxOROtuhLVv","117","garlic_4","颗","个","颗"
"R_09c5bxOROtuhLVv","117","glove_3","只","个","只"
"R_09c5bxOROtuhLVv","117","guitar_3","把","只","把"
"R_09c5bxOROtuhLVv","117","hairblower_2","把","座","把"
"R_09c5bxOROtuhLVv","117","hammer_4","把","只","把"
"R_09c5bxOROtuhLVv","117","handfan_4","把","面","把"
"R_09c5bxOROtuhLVv","117","harp_2","台","把","台"
"R_09c5bxOROtuhLVv","117","hat_2","顶","个","顶"
"R_09c5bxOROtuhLVv","117","iron_4","台","个","台"
"R_09c5bxOROtuhLVv","117","key_3","把","只","把"
"R_09c5bxOROtuhLVv","117","laptop_3","台","座","台"
"R_09c5bxOROtuhLVv","117","lighthouse_2","座","个","座"
"R_09c5bxOROtuhLVv","117","microscope_3","台","座","台"
"R_09c5bxOROtuhLVv","117","microwave_2","座","台","座"
"R_09c5bxOROtuhLVv","117","mincer_2","台","座","台"
"R_09c5bxOROtuhLVv","117","mirror_3","把","面","把"
"R_09c5bxOROtuhLVv","117","monitor_2","台","座","台"
"R_09c5bxOROtuhLVv","117","motorcycle_3","辆","台","辆"
"R_09c5bxOROtuhLVv","117","nailclippers_2","把","个","把"
"R_09c5bxOROtuhLVv","117","pakchoi_3","颗","个","颗"
"R_09c5bxOROtuhLVv","117","paperclip_4","只","没有","只"
"R_09c5bxOROtuhLVv","117","piano_3","台","座","台"
"R_09c5bxOROtuhLVv","117","pipe_3","只","个","只"
"R_09c5bxOROtuhLVv","117","plane_4","架","台","架"
"R_09c5bxOROtuhLVv","117","popsicle_4","条","只","条"
"R_09c5bxOROtuhLVv","117","printer_4","台","座","台"
"R_09c5bxOROtuhLVv","117","racket_4","把","只","把"
"R_09c5bxOROtuhLVv","117","scissors_4","把","没有","把"
"R_09c5bxOROtuhLVv","117","screwdriver_2","把","只","把"
"R_09c5bxOROtuhLVv","117","screwnut_4","只","个","只"
"R_09c5bxOROtuhLVv","117","silvermedal_2","枚","没有","枚"
"R_09c5bxOROtuhLVv","117","slingshot_2","把","只","把"
"R_09c5bxOROtuhLVv","117","sofa_4","个","台","台"
"R_09c5bxOROtuhLVv","117","spoon_4","只","把","只"
"R_09c5bxOROtuhLVv","117","stapler_4","只","台","只"
"R_09c5bxOROtuhLVv","117","telescope_2","台","个","台"
"R_09c5bxOROtuhLVv","117","thermometer_3","把","只","把"
"R_09c5bxOROtuhLVv","117","tie_3","把","条","把"
"R_09c5bxOROtuhLVv","117","toothbrush_4","把","没有","把"
"R_09c5bxOROtuhLVv","117","torch_2","把","只","把"
"R_09c5bxOROtuhLVv","117","triangleruler_4","块","只","块"
"R_09c5bxOROtuhLVv","117","truck_3","台","辆","台"
"R_09c5bxOROtuhLVv","117","tv_2","台","座","台"
"R_09c5bxOROtuhLVv","117","washingmachine_2","台","没有","台"
"R_09c5bxOROtuhLVv","117","watch_3","只","块","只"
"R_09c5bxOROtuhLVv","117","woodendoor_2","扇","没有","扇"
"R_0p5X9EyL2dhpTfX","122","abacus_3","台","把","台"
"R_0p5X9EyL2dhpTfX","122","axe_2","把","柄","把"
"R_0p5X9EyL2dhpTfX","122","balance_2","座","只","座"
"R_0p5X9EyL2dhpTfX","122","belt_3","条","个","条"
"R_0p5X9EyL2dhpTfX","122","bicycle_2","辆","架","辆"
"R_0p5X9EyL2dhpTfX","122","blackboard_2","块","个","块"
"R_0p5X9EyL2dhpTfX","122","bow_4","把","条","把"
"R_0p5X9EyL2dhpTfX","122","bracelet_3","只","个","只"
"R_0p5X9EyL2dhpTfX","122","broom_2","把","只","把"
"R_0p5X9EyL2dhpTfX","122","brush_3","把","个","把"
"R_0p5X9EyL2dhpTfX","122","cabbage_2","个","没有","没有"
"R_0p5X9EyL2dhpTfX","122","camera_3","台","个","台"
"R_0p5X9EyL2dhpTfX","122","coffeemachine_3","台","个","台"
"R_0p5X9EyL2dhpTfX","122","comb_4","把","没有","把"
"R_0p5X9EyL2dhpTfX","122","desklamp_3","座","个","座"
"R_0p5X9EyL2dhpTfX","122","draftingcomp_4","把","个","把"
"R_0p5X9EyL2dhpTfX","122","egg_4","个","只","只"
"R_0p5X9EyL2dhpTfX","122","fan_3","台","个","台"
"R_0p5X9EyL2dhpTfX","122","garlic_4","头","个","头"
"R_0p5X9EyL2dhpTfX","122","glove_3","只","个","只"
"R_0p5X9EyL2dhpTfX","122","guitar_3","把","个","把"
"R_0p5X9EyL2dhpTfX","122","hairblower_2","把","个","把"
"R_0p5X9EyL2dhpTfX","122","hammer_4","把","柄","把"
"R_0p5X9EyL2dhpTfX","122","handfan_4","把","个","把"
"R_0p5X9EyL2dhpTfX","122","harp_2","把","架","把"
"R_0p5X9EyL2dhpTfX","122","hat_2","顶","只","顶"
"R_0p5X9EyL2dhpTfX","122","iron_4","个","台","台"
"R_0p5X9EyL2dhpTfX","122","key_3","把","个","把"
"R_0p5X9EyL2dhpTfX","122","laptop_3","台","个","台"
"R_0p5X9EyL2dhpTfX","122","lighthouse_2","座","个","座"
"R_0p5X9EyL2dhpTfX","122","microscope_3","台","架","台"
"R_0p5X9EyL2dhpTfX","122","microwave_2","台","个","台"
"R_0p5X9EyL2dhpTfX","122","mincer_2","台","个","台"
"R_0p5X9EyL2dhpTfX","122","mirror_3","面","个","面"
"R_0p5X9EyL2dhpTfX","122","monitor_2","台","架","台"
"R_0p5X9EyL2dhpTfX","122","motorcycle_3","架","台","架"
"R_0p5X9EyL2dhpTfX","122","nailclippers_2","个","只","只"
"R_0p5X9EyL2dhpTfX","122","pakchoi_3","个","没有","没有"
