target,competitor1,competitor2,competitor3,block,condition
Match_0127_popsicle_4.png,popsicle_3,MisMatch_0005_brush_3.png,brush_4,D,fast
Match_0044_iron_4.png,iron_2,Match_0163_woodendoor_2.png,woodendoor4,D,fast
Match_0093_glove_3.png,glove_4,Match_0255_spoon_4.png,spoon_3,D,fast
MisMatch_0068_handfan_4.png,handfan_2,Match_0068_broom_2.png,broom_4,D,fast
Match_0155_paperclip_4.png,paperclip_3,MisMatch_0214_watch_3.png,watch_4,D,fast
MisMatch_0310_lighthouse_2.png,lighthouse_3,Object_0314_camera_3.png,camera_2,D,fast
MisMatch_0359_mirror_3.png,mirror_2,MisMatch_0034_harp_2.png,harp_3,D,fast
Match_0106_guitar_3.png,guitar_4,Match_0297_plane_4.png,plane_3,D,fast
Object_0014_scissors_4.png,scissors_3,Match_0120_fan_3.png,fan_4,D,fast
MisMatch_0314_hat_2.png,hat_4,Match_0121_garlic_4.png,garlic_2,D,fast
Match_0088_tv_2.png,tv_3,Match_0245_belt_3.png,belt_2,D,fast
Match_0114_toothbrush_4.png,toothbrush_2,Match_0301_bicycle_2.png,bicycle_4,D,fast
Match_0273_slingshot_2.png,slingshot_3,MisMatch_0359_mirror_3.png,mirror_2,D,fast
Match_0091_triangleruler_4.png,triangleruler_2,Match_0249_nailclippers_2.png,nailclippers_4,D,fast
MisMatch_0232_microwave_2.png,microwave_3,Match_0108_pipe_3.png,pipe_2,D,fast
Match_0108_pipe_3.png,pipe_4,Match_0267_egg_4.png,egg_3,D,fast
MisMatch_0214_watch_3.png,watch_2,Match_0118_silvermedal_2.png,silvermedal_3,A,slow
Match_0189_torch_2.png,torch_3,MisMatch_0381_desklamp_3.png,desklamp_2,A,slow
Match_0163_woodendoor_2.png,woodendoor_4,MisMatch_0312_comb_4.png,comb_2,A,slow
Object_0026_abacus_3.png,abacus_2,Match_0251_blackboard_2.png,blackboard_3,A,slow
MisMatch_0381_desklamp_3.png,desklamp_2,MisMatch_0232_microwave_2.png,microwave_3,A,slow
Object_0314_camera_3.png,camera_4,Object_0123_printer_4.png,printer_3,A,slow
Match_0120_fan_3.png,fan_2,Match_0328_washingmachine_2.png,washingmachine_3,A,slow
Object_0123_printer_4.png,printer_3,Match_0106_guitar_3.png,guitar_4,A,slow
Match_0068_broom_2.png,broom_4,Match_0183_hammer_4.png,hammer_2,A,slow
MisMatch_0005_brush_3.png,brush_2,Match_0063_mincer_2.png,mincer_3,A,slow
Match_0121_garlic_4.png,garlic_3,Match_0320_thermometer_3.png,thermometer_4,A,slow
Match_0123_monitor_2.png,monitor_3,Match_0373_piano_3.png,piano_2,A,slow
Match_0297_plane_4.png,plane_2,Object_0031_hairblower_2.png,hairblower_4,A,slow
MisMatch_0312_comb_4.png,comb_3,Match_0120_fan_3.png,fan_4,A,slow
Match_0030_sofa_4.png,sofa_3,Match_0128_tie_3.png,tie_4,A,slow
Match_0330_screwnut_4.png,screwnut_3,Match_0036_bracelet_3.png,bracelet_4,A,slow
MisMatch_0352_truck_3.png,truck_2,Match_0088_tv_2.png,tv_3,B,fast
Match_0153_microscope_3.png,lighthouse_2,MisMatch_0310_lighthouse_2.png,microscope_3,B,fast
Match_0008_cabbage_2.png,cabbage_3,Match_0125_key_3.png,key_2,B,fast
Match_0245_belt_3.png,belt_4,Object_0274_racket_4.png,racket_3,B,fast
Object_0388_bow_4.png,bow_2,Match_0123_monitor_2.png,monitor_4,B,fast
MisMatch_0034_harp_2.png,harp_4,Match_0091_triangleruler_4.png,triangleruler_2,B,fast
Match_0082_pakchoi_3.png,pakchoi_2,Match_0189_torch_2.png,torch_3,B,fast
Object_0274_racket_4.png,racket_2,Match_0088_tv_2.png,tv_4,B,fast
Match_0125_key_3.png,key_2,Match_0392_balance_2.png,balance_3,B,fast
Match_0255_spoon_4.png,spoon_2,Match_0008_cabbage_2.png,cabbage_4,B,fast
